"","matches","worst_case","most_parts","expected","entropy"
"1","ccccc","arise","trace","raise","raise"
"2","cccci","NA","NA","NA","NA"
"3","ccccn","NA","track","NA","NA"
"4","cccic","NA","NA","NA","NA"
"5","cccii","NA","NA","NA","NA"
"6","cccin","NA","NA","NA","NA"
"7","cccnc","NA","trade","NA","NA"
"8","cccni","NA","NA","NA","NA"
"9","cccnn","NA","trail","rainy","rainy"
"10","ccicc","NA","NA","NA","NA"
"11","ccici","NA","NA","NA","NA"
"12","ccicn","NA","NA","NA","NA"
"13","cciic","NA","NA","NA","NA"
"14","cciii","NA","NA","NA","NA"
"15","cciin","NA","NA","NA","NA"
"16","ccinc","NA","NA","NA","NA"
"17","ccini","NA","treat","NA","NA"
"18","ccinn","NA","triad","radio","rabid"
"19","ccncc","arose","trice","NA","NA"
"20","ccnci","NA","NA","NA","NA"
"21","ccncn","artsy","trick","NA","NA"
"22","ccnic","NA","NA","NA","NA"
"23","ccnii","NA","NA","NA","NA"
"24","ccnin","arson","NA","raspy","raspy"
"25","ccnnc","argue","trope","range","range"
"26","ccnni","arena","tried","ramen","ramen"
"27","ccnnn","ardor","tryst","randy","randy"
"28","ciccc","NA","NA","NA","NA"
"29","cicci","NA","NA","NA","NA"
"30","ciccn","NA","NA","NA","NA"
"31","cicic","NA","NA","NA","NA"
"32","cicii","NA","NA","NA","NA"
"33","cicin","NA","NA","NA","NA"
"34","cicnc","afire","NA","NA","NA"
"35","cicni","NA","teary","NA","NA"
"36","cicnn","NA","tiara","NA","NA"
"37","ciicc","NA","NA","NA","NA"
"38","ciici","NA","NA","NA","NA"
"39","ciicn","NA","NA","NA","NA"
"40","ciiic","NA","NA","NA","NA"
"41","ciiii","NA","NA","NA","NA"
"42","ciiin","NA","NA","NA","NA"
"43","ciinc","NA","NA","NA","NA"
"44","ciini","aider","tamer","NA","NA"
"45","ciinn","acrid","tardy","rival","rival"
"46","cincc","NA","NA","NA","NA"
"47","cinci","NA","NA","NA","NA"
"48","cincn","NA","torch","roast","roast"
"49","cinic","NA","NA","NA","NA"
"50","cinii","NA","NA","NA","NA"
"51","cinin","NA","NA","NA","NA"
"52","cinnc","azure","there","NA","NA"
"53","cinni","avert","tiger","relay","relay"
"54","cinnn","agora","throb","royal","royal"
"55","cnccc","NA","NA","NA","NA"
"56","cncci","NA","teach","NA","NA"
"57","cnccn","amiss","NA","NA","NA"
"58","cncic","aside","NA","NA","NA"
"59","cncii","NA","NA","NA","NA"
"60","cncin","NA","NA","NA","NA"
"61","cncnc","alike","tease","NA","NA"
"62","cncni","alien","NA","reign","reign"
"63","cncnn","align","twang","rhino","rhino"
"64","cnicc","NA","NA","rinse","rinse"
"65","cnici","NA","NA","NA","NA"
"66","cnicn","NA","NA","NA","NA"
"67","cniic","aisle","NA","NA","NA"
"68","cniii","NA","NA","risen","risen"
"69","cniin","NA","tacit","risky","risky"
"70","cninc","NA","table","rifle","rifle"
"71","cnini","NA","theta","rivet","rivet"
"72","cninn","audit","titan","robin","robin"
"73","cnncc","abase","twice","rouse","rouse"
"74","cnnci","NA","NA","NA","NA"
"75","cnncn","amass","touch","roost","roost"
"76","cnnic","NA","NA","NA","NA"
"77","cnnii","askew","NA","rebus","rebus"
"78","cnnin","assay","tunic","rusty","rusty"
"79","cnnnc","abate","these","rogue","rogue"
"80","cnnni","abled","tenet","ruler","ruler"
"81","cnnnn","aloft","tying","ruddy","ruddy"
"82","icccc","NA","NA","NA","NA"
"83","iccci","NA","NA","NA","NA"
"84","icccn","NA","NA","NA","NA"
"85","iccic","NA","crate","NA","NA"
"86","iccii","NA","NA","NA","NA"
"87","iccin","NA","craft","NA","NA"
"88","iccnc","NA","grate","NA","NA"
"89","iccni","NA","NA","NA","NA"
"90","iccnn","briar","draft","hairy","hairy"
"91","icicc","NA","NA","NA","NA"
"92","icici","NA","NA","NA","NA"
"93","icicn","NA","NA","NA","NA"
"94","iciic","NA","NA","NA","NA"
"95","iciii","NA","NA","NA","NA"
"96","iciin","NA","NA","NA","NA"
"97","icinc","irate","NA","NA","NA"
"98","icini","NA","great","NA","NA"
"99","icinn","train","artsy","tapir","tapir"
"100","icncc","erase","NA","parse","parse"
"101","icnci","NA","erect","NA","NA"
"102","icncn","crass","NA","marsh","marsh"
"103","icnic","NA","NA","NA","NA"
"104","icnii","NA","crept","safer","safer"
"105","icnin","NA","crust","savor","savor"
"106","icnnc","grace","wrote","farce","farce"
"107","icnni","tread","greet","taper","taper"
"108","icnnn","grant","front","party","party"
"109","iiccc","raise","NA","arise","arise"
"110","iicci","NA","react","NA","NA"
"111","iiccn","NA","NA","NA","NA"
"112","iicic","NA","NA","NA","NA"
"113","iicii","NA","NA","NA","NA"
"114","iicin","NA","chart","NA","NA"
"115","iicnc","NA","stare","afire","afire"
"116","iicni","NA","heart","NA","NA"
"117","iicnn","hairy","start","briar","briar"
"118","iiicc","NA","NA","NA","NA"
"119","iiici","NA","NA","NA","NA"
"120","iiicn","NA","NA","NA","NA"
"121","iiiic","NA","NA","NA","NA"
"122","iiiii","NA","cater","NA","NA"
"123","iiiin","stair","actor","stair","stair"
"124","iiinc","NA","NA","irate","irate"
"125","iiini","NA","later","aider","aider"
"126","iiinn","tapir","party","trail","trail"
"127","iincc","parse","NA","arose","arose"
"128","iinci","NA","retch","NA","NA"
"129","iincn","marsh","NA","crass","crass"
"130","iinic","scare","NA","scare","scare"
"131","iinii","smear","recut","smear","smear"
